UF,NM_MUNICIPIO,LOCAL_COD,POP2000_TOT,POP2010_TOT,POP2022_TOT,VAR_00-10,VAR_10-22
PE,SAO JOSE DA COROA GRANDE,2613404,13971.0,18172.0,18802,30.069429532603248,3.4668721109399074
PE,SAO JOSE DO BELMONTE,2613503,31652.0,32620.0,34836,3.05825856186023,6.793378295524219
PE,SAO JOSE DO EGITO,2613602,29468.0,31838.0,31154,8.042622505768971,-2.148376154281048
PE,SAO LOURENCO DA MATA,2613701,90402.0,102956.0,110765,13.886860910156857,7.584793504021135
PE,SAO VICENTE FERRER,2613800,16004.0,17000.0,16331,6.223444138965259,-3.935294117647059
PE,SERRA TALHADA,2613909,70912.0,79241.0,91624,11.745543772563177,15.627011269418608
PE,SERRITA,2614006,17848.0,18331.0,18204,2.7061855670103094,-0.692815449238994
PE,SERTANIA,2614105,31657.0,33723.0,31593,6.526202735571912,-6.316164042344988
PE,SIRINHAEM,2614204,33046.0,40306.0,37503,21.96937602130364,-6.954299607998809
PE,MOREILANDIA,2614303,11116.0,11137.0,10503,0.1889168765743073,-5.692735925294065
PE,SOLIDAO,2614402,5532.0,5744.0,5246,3.8322487346348515,-8.66991643454039
PE,SURUBIM,2614501,50331.0,58444.0,63979,16.119290298225746,9.470604339196496
PE,TABIRA,2614600,24065.0,26430.0,27505,9.82755038437565,4.067347710934544
PE,TACAIMBO,2614709,12929.0,12704.0,13608,-1.740273803078351,7.1158690176322414
PE,TACARATU,2614808,17096.0,22073.0,23166,29.112072999532053,4.951751008018847
PE,TAMANDARE,2614857,17281.0,20745.0,23494,20.04513627683583,13.251385876114727
PE,TAQUARITINGA DO NORTE,2615003,19757.0,24923.0,24335,26.14769448802956,-2.359266540946114
PE,TEREZINHA,2615102,6300.0,6737.0,6646,6.936507936507937,-1.350749591806442
PE,TERRA NOVA,2615201,7518.0,9256.0,8832,23.11785049215217,-4.580812445980985
PE,TIMBAUBA,2615300,56906.0,53823.0,46004,-5.417706392998981,-14.52724671608792
PE,TORITAMA,2615409,21800.0,35631.0,40375,63.444954128440365,13.31424882826752
PE,TRACUNHAEM,2615508,12394.0,13055.0,13874,5.333225754397289,6.273458445040214
PE,TRINDADE,2615607,21930.0,26116.0,30231,19.088007295941633,15.756624291621993
PE,TRIUNFO,2615706,15135.0,15006.0,14647,-0.8523290386521309,-2.3923763827802214
PE,TUPANATINGA,2615805,20801.0,24254.0,28352,16.60016345368011,16.896182073060114
PE,TUPARETAMA,2615904,7766.0,7925.0,8018,2.047386041720319,1.1735015772870663
PE,VENTUROSA,2616001,13462.0,16064.0,17676,19.328480166394296,10.034860557768924
PE,VERDEJANTE,2616100,8846.0,9142.0,9170,3.346145150350441,0.3062787136294028
PE,VERTENTE DO LERIO,2616183,8536.0,7894.0,7549,-7.521087160262418,-4.3704079047377755
PE,VERTENTES,2616209,14957.0,18267.0,21393,22.130106304740256,17.112826408277222
PE,VICENCIA,2616308,28820.0,30731.0,26254,6.630811936155448,-14.568351176336597
PE,VITORIA DE SANTO ANTAO,2616407,117609.0,130540.0,135182,10.994906852366741,3.5559981614830702
PE,XEXEU,2616506,13597.0,14092.0,11288,3.6405089357946605,-19.89781436275901
BA,ABAIRA,2900108,9067.0,8324.0,7290,-8.194551670894452,-12.421912542047092
BA,ABARE,2900207,13648.0,17072.0,18766,25.087924970691677,9.922680412371134
BA,ACAJUTIBA,2900306,14322.0,14830.0,13715,3.546990643764837,-7.518543492919758
BA,ADUSTINA,2900355,14302.0,15706.0,14166,9.816808837924766,-9.805169998726601
BA,AGUA FRIA,2900405,14718.0,15726.0,17398,6.848756624541378,10.632074271906397
BA,ERICO CARDOSO,2900504,12160.0,10855.0,10581,-10.731907894736842,-2.5241824044219254
BA,AIQUARA,2900603,5315.0,4602.0,4566,-13.41486359360301,-0.7822685788787485
BA,ALAGOINHAS,2900702,130095.0,142160.0,157864,9.27399208270879,11.046707934721441
BA,ALCOBACA,2900801,20900.0,21319.0,23633,2.0047846889952154,10.854167643885736
BA,ALMADINA,2900900,7862.0,6360.0,5195,-19.104553548715337,-18.31761006289308
BA,AMARGOSA,2901007,31108.0,34340.0,36260,10.38961038961039,5.591147350029121
BA,AMELIA RODRIGUES,2901106,24134.0,25190.0,23639,4.375569735642662,-6.157205240174672
BA,AMERICA DOURADA,2901155,15959.0,15952.0,15104,-0.04386239739332039,-5.315947843530592
BA,ANAGE,2901205,31060.0,25500.0,25452,-17.900837089504186,-0.18823529411764706
BA,ANDARAI,2901304,13884.0,13948.0,13406,0.4609622587150677,-3.8858617722971034
BA,ANDORINHA,2901353,15774.0,14417.0,15011,-8.602764042094586,4.120135950613859
BA,ANGICAL,2901403,14701.0,14073.0,14973,-4.271818243656894,6.395224898742273
BA,ANGUERA,2901502,8834.0,10248.0,11019,16.00633914421553,7.523419203747073
BA,ANTAS,2901601,14059.0,17078.0,14453,21.47378903193684,-15.370652301206231
BA,ANTONIO CARDOSO,2901700,11620.0,11548.0,11268,-0.6196213425129088,-2.4246622791825425
BA,ANTONIO GONCALVES,2901809,9716.0,11019.0,11921,13.410868670234667,8.185860785915237
BA,APORA,2901908,16769.0,17720.0,16909,5.671178961178365,-4.576749435665914
BA,APUAREMA,2901957,7443.0,7463.0,6900,0.2687088539567379,-7.543883156907411
BA,ARACATU,2902005,15491.0,13732.0,13819,-11.35498031114841,0.6335566559860181
BA,ARACAS,2902054,11003.0,11569.0,12605,5.144051622284832,8.954965857031723
BA,ARACI,2902104,47584.0,51636.0,51377,8.51546738399462,-0.5015880393523898
BA,ARAMARI,2902203,9258.0,10039.0,9781,8.435947288831281,-2.569977089351529
BA,ARATACA,2902252,11218.0,10403.0,8219,-7.26510964521305,-20.993944054599634
BA,ARATUIPE,2902302,8381.0,8590.0,10006,2.4937358310464144,16.48428405122235
BA,AURELINO LEAL,2902401,17149.0,13599.0,11782,-20.700915505277276,-13.36127656445327
BA,BAIANOPOLIS,2902500,12179.0,13863.0,13618,13.827079398965433,-1.7672942364567554
BA,BAIXA GRANDE,2902609,20441.0,20069.0,17880,-1.8198718262315932,-10.907369574966367
BA,BANZAE,2902658,11156.0,11811.0,11869,5.871280028684116,0.4910676488019643
BA,BARRA,2902708,44203.0,49342.0,50543,11.625907743818292,2.4340318592679666
BA,BARRA DA ESTIVA,2902807,24440.0,21190.0,26031,-13.297872340425531,22.845681925436526
BA,BARRA DO CHOCA,2902906,40818.0,34788.0,40025,-14.772894311333234,15.05404162354835
BA,BARRA DO MENDES,2903003,13610.0,13997.0,13852,2.843497428361499,-1.0359362720582983
BA,BARRA DO ROCHA,2903102,8074.0,6336.0,6682,-21.525885558583106,5.460858585858586
BA,BARREIRAS,2903201,131849.0,137428.0,165413,4.231355565836677,20.363390284367085
BA,BARRO ALTO,2903235,12098.0,13626.0,13761,12.630186807736814,0.9907529722589168
BA,BARROCAS,2903276,0.0,14189.0,15396,inf,8.506589611671012
BA,BARRO PRETO,2903300,8602.0,6453.0,5820,-24.98256219483841,-9.809390980939098
BA,BELMONTE,2903409,20032.0,21838.0,20565,9.015575079872203,-5.829288396373294
BA,BELO CAMPO,2903508,17655.0,16026.0,18399,-9.226847918436704,14.807188318981654
BA,BIRITINGA,2903607,14641.0,14833.0,15151,1.3113858343009357,2.143868401537113
BA,BOA NOVA,2903706,20544.0,15409.0,14160,-24.995132398753896,-8.105652540722955
BA,BOA VISTA DO TUPIM,2903805,18408.0,18000.0,19320,-2.216427640156454,7.333333333333333
BA,BOM JESUS DA LAPA,2903904,54421.0,63508.0,74040,16.697598353576744,16.583737481892044
BA,BOM JESUS DA SERRA,2903953,10502.0,10123.0,9572,-3.6088364121119785,-5.443050479106984
BA,BONINAL,2904001,12461.0,13695.0,13653,9.902897038760933,-0.30668127053669225
BA,BONITO,2904050,12902.0,14851.0,15837,15.10618508758332,6.6392835499292975
BA,BOQUIRA,2904100,22121.0,22042.0,20588,-0.3571267121739523,-6.596497595499501
BA,BOTUPORA,2904209,11522.0,11162.0,11040,-3.124457559451484,-1.0929940870811683
BA,BREJOES,2904308,15344.0,14282.0,12914,-6.921272158498436,-9.578490407505951
BA,BREJOLANDIA,2904407,8762.0,11127.0,9114,26.991554439625652,-18.091129684551092
BA,BROTAS DE MACAUBAS,2904506,13003.0,10718.0,12467,-17.572867799738525,16.31834297443553
BA,BRUMADO,2904605,61670.0,64550.0,70268,4.670017836873683,8.858249419054996
